syllable,latin,count,first_file
प,pa,1325248,s0101m.mul.xml
स,sa,1322692,s0101m.mul.xml
ति,ti,1169077,s0101m.mul.xml
न,na,1165176,s0101m.mul.xml
अ,a,1010102,s0101m.mul.xml
व,va,921801,s0101m.mul.xml
त,ta,740880,s0101m.mul.xml
क,ka,683878,s0101m.mul.xml
म,ma,682397,s0101m.mul.xml
च,ca,673104,s0101m.mul.xml
य,ya,621782,s0101m.mul.xml
र,ra,529364,s0101m.mul.xml
स्स,ssa,514612,s0101m.mul.xml
वि,vi,492911,s0101m.mul.xml
ना,nā,478713,s0101m.mul.xml
नि,ni,466142,s0101m.mul.xml
ञ्,ñ,411647,s0101m.mul.xml
ग,ga,350321,s0101m.mul.xml
का,kā,346735,s0101m.mul.xml
नं,naṃ,337830,s0101m.mul.xml
रि,ri,330168,s0101m.mul.xml
आ,ā,323095,s0101m.mul.xml
द,da,318571,s0101m.mul.xml
वा,vā,311466,s0101m.mul.xml
सु,su,301175,s0101m.mul.xml
त्त,tta,291037,s0101m.mul.xml
ए,e,279861,s0101m.mul.xml
तो,to,275326,s0101m.mul.xml
उ,u,273812,s0101m.mul.xml
न्ति,nti,273304,s0101m.mul.xml
ता,tā,264131,s0101m.mul.xml
दि,di,262503,s0101m.mul.xml
मा,mā,260685,s0101m.mul.xml
ह,ha,255789,s0101m.mul.xml
च्,c,252093,s0101m.mul.xml
या,yā,249910,s0101m.mul.xml
त्वा,tvā,236477,s0101m.mul.xml
हि,hi,236177,s0101m.mul.xml
पा,pā,225338,s0101m.mul.xml
ते,te,218590,s0101m.mul.xml
ज,ja,218000,s0101m.mul.xml
सा,sā,217668,s0101m.mul.xml
ध,dha,210673,s0101m.mul.xml
तं,taṃ,209220,s0101m.mul.xml
सि,si,208637,s0101m.mul.xml
से,se,205699,s0101m.mul.xml
भ,bha,204173,s0101m.mul.xml
यो,yo,202614,s0101m.mul.xml
ल,la,201248,s0101m.mul.xml
इ,i,200536,s0101m.mul.xml
पि,pi,189929,s0101m.mul.xml
पु,pu,188172,s0101m.mul.xml
भि,bhi,179446,s0101m.mul.xml
प्प,ppa,179130,s0101m.mul.xml
त्थ,ttha,176825,s0101m.mul.xml
रा,rā,175307,s0101m.mul.xml
यं,yaṃ,174712,s0101m.mul.xml
ने,ne,172786,s0101m.mul.xml
वे,ve,172639,s0101m.mul.xml
सो,so,162709,s0101m.mul.xml
मे,me,159778,s0101m.mul.xml
नु,nu,156785,s0101m.mul.xml
ये,ye,155272,s0101m.mul.xml
भा,bhā,154831,s0101m.mul.xml
क्ख,kkha,153362,s0101m.mul.xml
ज्,j,153346,s0101m.mul.xml
सं,saṃ,151599,s0101m.mul.xml
दा,dā,149497,s0101m.mul.xml
चि,ci,148657,s0101m.mul.xml
टि,ṭi,148536,s0101m.mul.xml
तु,tu,148497,s0101m.mul.xml
जा,jā,146116,s0101m.mul.xml
त्ता,ttā,144475,s0101m.mul.xml
ण,ṇa,142984,s0101m.mul.xml
पे,pe,142588,s0101m.mul.xml
वु,vu,142047,s0101m.mul.xml
नो,no,141874,s0101m.mul.xml
रो,ro,139651,s0101m.mul.xml
हो,ho,138787,s0101m.mul.xml
हा,hā,134353,s0101m.mul.xml
मि,mi,131377,s0101m.mul.xml
था,thā,129078,s0101m.mul.xml
न्,n,128268,s0101m.mul.xml
म्म,mma,126792,s0101m.mul.xml
दे,de,126040,s0101m.mul.xml
ती,tī,124648,s0101m.mul.xml
रे,re,122518,s0101m.mul.xml
ञा,ñā,122019,s0101m.mul.xml
को,ko,121772,s0101m.mul.xml
त्तं,ttaṃ,119994,s0101m.mul.xml
कं,kaṃ,116691,s0101m.mul.xml
त्ति,tti,110431,s0101m.mul.xml
क्,k,109749,s0101m.mul.xml
ब्ब,bba,108647,s0101m.mul.xml
कु,ku,103104,s0101m.mul.xml
हे,he,101906,s0101m.mul.xml
मु,mu,98369,s0101m.mul.xml
दु,du,97918,s0101m.mul.xml
के,ke,97761,s0101m.mul.xml
लो,lo,97489,s0101m.mul.xml
ट्ठा,ṭṭhā,95037,s0101m.mul.xml
ग्ग,gga,93712,s0101m.mul.xml
स्सा,ssā,93674,s0101m.mul.xml
कि,ki,92040,s0101m.mul.xml
वं,vaṃ,90137,s0101m.mul.xml
चे,ce,86901,s0101m.mul.xml
न्त,nta,85405,s0101m.mul.xml
धि,dhi,85181,s0101m.mul.xml
दी,dī,83793,s0101m.mul.xml
चा,cā,83708,s0101m.mul.xml
सी,sī,83332,s0101m.mul.xml
ट्ठ,ṭṭha,82474,s0101m.mul.xml
ला,lā,81295,s0101m.mul.xml
रू,rū,80267,s0101m.mul.xml
रं,raṃ,77724,s0101m.mul.xml
ञ,ña,76973,s0101m.mul.xml
धा,dhā,72795,s0101m.mul.xml
थ,tha,70523,s0101m.mul.xml
ख,kha,70077,s0101m.mul.xml
गा,gā,68300,s0101m.mul.xml
मं,maṃ,66504,s0101m.mul.xml
न्तो,nto,64761,s0101m.mul.xml
ब,ba,64632,s0101m.mul.xml
णा,ṇā,64361,s0101m.mul.xml
ले,le,64344,s0101m.mul.xml
म्मा,mmā,61396,s0101m.mul.xml
मो,mo,61394,s0101m.mul.xml
णं,ṇaṃ,61048,s0101m.mul.xml
जि,ji,59691,s0101m.mul.xml
च्छ,ccha,59282,s0101m.mul.xml
त्थि,tthi,58846,s0101m.mul.xml
क्खु,kkhu,57229,s0101m.mul.xml
म्प,mpa,57166,s0101m.mul.xml
रु,ru,57113,s0101m.mul.xml
नी,nī,57086,s0101m.mul.xml
णे,ṇe,55463,s0101m.mul.xml
यु,yu,54751,s0101m.mul.xml
ट्ठि,ṭṭhi,54238,s0101m.mul.xml
त्तो,tto,53879,s0101m.mul.xml
त्ते,tte,53458,s0101m.mul.xml
न्ते,nte,53448,s0101m.mul.xml
ब्बा,bbā,51592,s0101m.mul.xml
त्था,tthā,50798,s0101m.mul.xml
दं,daṃ,50761,s0101m.mul.xml
खो,kho,50539,s0101m.mul.xml
लं,laṃ,49364,s0101m.mul.xml
म्पि,mpi,49041,s0101m.mul.xml
वो,vo,48882,s0101m.mul.xml
ण्ण,ṇṇa,47863,s0101m.mul.xml
ब्बं,bbaṃ,45639,s0101m.mul.xml
स्से,sse,45575,s0101m.mul.xml
द्ध,ddha,45367,s0101m.mul.xml
य्य,yya,45206,s0101m.mul.xml
स्मा,smā,45197,s0101m.mul.xml
भू,bhū,44809,s0101m.mul.xml
क्खा,kkhā,43718,s0101m.mul.xml
हं,haṃ,43351,s0101m.mul.xml
